category,financial_year,num_vehicles
E-2 Wheelers,2017-18,1981
E-2 Wheelers,2018-19,27478
E-2 Wheelers,2019-20,26512
E-2 Wheelers,2020-21,44294
E-2 Wheelers,2021-22,249615
E-2 Wheelers,2022-23,728090
E-3 Wheelers,2017-18,91970
E-3 Wheelers,2018-19,116031
E-3 Wheelers,2019-20,143051
E-3 Wheelers,2020-21,90898
E-3 Wheelers,2021-22,172543
E-3 Wheelers,2022-23,401882
E-4 Wheelers,2017-18,2242
E-4 Wheelers,2018-19,2407
E-4 Wheelers,2019-20,2404
E-4 Wheelers,2020-21,5201
E-4 Wheelers,2021-22,19782
E-4 Wheelers,2022-23,48105
E-Buses,2017-18,35
E-Buses,2018-19,75
E-Buses,2019-20,369
E-Buses,2020-21,373
E-Buses,2021-22,1198
E-Buses,2022-23,1917
